Tamano,Num. Vectores,Umbral insercion,Tiempo medio (ns),Num medio comparaciones,Num medio asignaciones
10,1000,9,13753,26,39
10,1000,10,10874,26,39
10,1000,11,11291,26,39
10,1000,12,10951,25,39
10,1000,13,11303,25,39
100,1000,9,42891,649,659
100,1000,10,41014,644,658
100,1000,11,51779,642,659
100,1000,12,44438,641,661
100,1000,13,38122,641,663
1000,1000,9,254535,10442,8983
1000,1000,10,233263,10385,8986
1000,1000,11,242785,10373,9005
1000,1000,12,232495,10358,9018
1000,1000,13,253394,10369,9051
10000,1000,9,2268245,143991,113553
10000,1000,10,2227439,143469,113569
10000,1000,11,2110955,143106,113717
10000,1000,12,2036512,143098,113928
10000,1000,13,2094127,143123,114189
100000,1000,9,23756851,1833152,1372489
100000,1000,10,22663768,1829797,1372641
100000,1000,11,23983048,1828204,1373721
100000,1000,12,20334536,1825152,1376291
100000,1000,13,23228981,1826696,1378974
1000000,1000,9,262881641,22282390,16092544
1000000,1000,10,258120107,22246733,16094954
1000000,1000,11,256851525,22215868,16108125
1000000,1000,12,254757389,22203836,16129509
1000000,1000,13,229462479,22206127,16159411
10000000,1000,9,2578992829,262245682,184619627
10000000,1000,10,2559315812,262014173,184617704
10000000,1000,11,2576431227,261694695,184753076
10000000,1000,12,2891756971,261491339,184981666
10000000,1000,13,2504271340,261357174,185291843